article_name,article_name_encoded,article_id,Flesch-Kincaid,Gunning Fog,ARI,SMOG,Coleman-Liau,Readability Consensus
Áedán mac Gabráin,%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,0,9.7,10.76,12.4,10.3,9.87,10.605999999999998
Åland,%C3%85land,1,11.4,12.25,14.1,13.4,12.71,12.772
Édouard Manet,%C3%89douard_Manet,2,10.2,11.7,12.9,12.1,11.2,11.62
Éire,%C3%89ire,3,12.2,13.41,15.1,14.3,11.2,13.242
Óengus I of the Picts,%C3%93engus_I_of_the_Picts,4,11.2,12.29,13.1,12.3,10.28,11.834
€2 commemorative coins,%E2%82%AC2_commemorative_coins,5,12.3,13.39,15.5,13.8,11.55,13.307999999999998
10th century,10th_century,6,8.7,11.5,9.0,12.8,8.41,10.081999999999999
11th century,11th_century,7,11.6,13.63,14.0,13.7,11.15,12.816000000000003
12th century,12th_century,8,7.8,10.43,7.4,12.5,7.94,9.214
13th century,13th_century,9,9.3,11.72,9.0,0.0,8.12,7.628
14th century,14th_century,10,7.9,10.3,9.3,0.0,7.02,6.904000000000001
15th Marine Expeditionary Unit,15th_Marine_Expeditionary_Unit,11,14.8,14.4,17.3,15.8,13.58,15.175999999999998
15th century,15th_century,12,6.0,8.28,6.3,0.0,7.47,5.609999999999999
16 Cygni,16_Cygni,13,8.1,9.71,7.9,11.1,7.89,8.940000000000001
16 Cygni Bb,16_Cygni_Bb,14,10.4,11.41,10.8,11.9,10.33,10.968
16th century,16th_century,15,8.4,10.15,8.4,0.0,8.7,7.130000000000001
1755 Lisbon earthquake,1755_Lisbon_earthquake,16,11.4,12.25,14.2,13.0,12.76,12.721999999999998
17th century,17th_century,17,12.9,15.11,14.1,0.0,12.53,10.928
1896 Summer Olympics,1896_Summer_Olympics,18,9.6,10.22,12.0,11.8,11.31,10.986
18th century,18th_century,19,13.2,14.21,16.1,15.2,11.09,13.960000000000003
1928 Okeechobee Hurricane,1928_Okeechobee_Hurricane,20,11.2,11.55,14.0,12.8,11.32,12.174
1973 oil crisis,1973_oil_crisis,21,11.9,12.7,14.2,13.9,12.01,12.941999999999998
1980 eruption of Mount St. Helens,1980_eruption_of_Mount_St._Helens,22,8.8,9.22,10.3,10.9,9.8,9.804000000000002
1997 Pacific hurricane season,1997_Pacific_hurricane_season,23,9.1,7.62,10.0,12.0,10.84,9.912
19th century,19th_century,24,12.5,13.45,15.5,13.9,13.0,13.669999999999998
1 Ceres,1_Ceres,25,10.0,11.36,11.7,12.5,10.04,11.120000000000001
1st century,1st_century,26,9.5,11.35,6.5,0.0,7.7,7.010000000000001
1st century BC,1st_century_BC,27,9.3,9.4,6.8,13.4,5.73,8.926000000000002
2-6-0,2-6-0,28,8.7,10.27,11.7,11.5,10.44,10.522
2-8-0,2-8-0,29,9.1,10.69,11.2,11.9,10.21,10.620000000000001
2003 Atlantic hurricane season,2003_Atlantic_hurricane_season,30,9.9,8.63,10.9,12.3,11.02,10.55
2004 Atlantic hurricane season,2004_Atlantic_hurricane_season,31,10.3,8.95,11.8,12.8,11.13,10.996
2004 Indian Ocean earthquake,2004_Indian_Ocean_earthquake,32,9.9,10.6,12.7,12.3,11.43,11.386
2005 Atlantic hurricane season,2005_Atlantic_hurricane_season,33,11.1,9.94,13.5,13.7,12.42,12.132
2005 Hertfordshire Oil Storage Terminal fire,2005_Hertfordshire_Oil_Storage_Terminal_fire,34,10.9,12.03,13.6,13.1,11.61,12.248000000000001
2005 Kashmir earthquake,2005_Kashmir_earthquake,35,10.7,11.22,13.8,12.4,11.84,11.991999999999999
2005 Lake Tanganyika earthquake,2005_Lake_Tanganyika_earthquake,36,8.8,11.56,11.8,11.4,10.1,10.732
2005 Sumatra earthquake,2005_Sumatra_earthquake,37,10.3,11.62,13.9,12.4,12.24,12.092
