,source,target,num_games,min_path_length,max_path_length,mean_path_length,median_path_length,optimal_path_length
0,1 Ceres,Indian Ocean,1,5,5,5.0,5.0,3.0
1,1 Ceres,John Locke,2,5,7,6.0,6.0,3.0
2,1 Ceres,London,2,5,9,7.0,7.0,2.0
3,1 Ceres,"Miami, Florida",1,3,3,3.0,3.0,2.0
4,1 Ceres,Sputnik 2,1,8,8,8.0,8.0,4.0
5,10th century,11th century,3,2,2,2.0,2.0,1.0
6,10th century,Banknote,1,5,5,5.0,5.0,2.0
7,10th century,Country,1,3,3,3.0,3.0,2.0
8,10th century,Harlem Globetrotters,2,4,5,4.5,4.5,3.0
9,10th century,History of democracy,1,10,10,10.0,10.0,3.0
10,10th century,Marco Polo,1,5,5,5.0,5.0,3.0
11,10th century,Soviet Union,1,3,3,3.0,3.0,2.0
12,11th century,Art,1,3,3,3.0,3.0,2.0
13,11th century,Dimetrodon,1,9,9,9.0,9.0,3.0
14,11th century,Education in the United States,1,5,5,5.0,5.0,3.0
15,11th century,Ho Chi Minh,1,5,5,5.0,5.0,3.0
16,11th century,Hurricane Alex (2004),1,7,7,7.0,7.0,4.0
17,11th century,John Adams,2,5,5,5.0,5.0,3.0
18,11th century,Lhasa,1,4,4,4.0,4.0,3.0
19,11th century,Nintendo Entertainment System,1,17,17,17.0,17.0,3.0
20,11th century,Plum,1,8,8,8.0,8.0,3.0
21,11th century,Taiwan,3,5,5,5.0,5.0,2.0
22,11th century,Warsaw,1,5,5,5.0,5.0,3.0
23,12th century,Belfast,1,3,3,3.0,3.0,2.0
24,12th century,Edinburgh,1,4,4,4.0,4.0,3.0
25,12th century,Flat Earth,1,10,10,10.0,10.0,4.0
26,12th century,Geography of Ireland,1,7,7,7.0,7.0,3.0
27,12th century,Guitar,4,4,8,6.0,6.0,3.0
28,12th century,Islam,1,3,3,3.0,3.0,2.0
29,12th century,Katana,1,17,17,17.0,17.0,3.0
30,12th century,Mexico,1,4,4,4.0,4.0,2.0
31,12th century,Suleiman the Magnificent,1,3,3,3.0,3.0,2.0
32,12th century,University of Chicago,1,8,8,8.0,8.0,3.0
33,12th century,Zimbabwe,6,4,12,7.0,6.5,3.0
34,13th century,Bison,2,5,7,6.0,6.0,3.0
35,13th century,Guernsey,1,9,9,9.0,9.0,2.0
36,13th century,Lothal,1,5,5,5.0,5.0,3.0
37,13th century,Neighbours,1,8,8,8.0,8.0,4.0
38,13th century,Olive oil,1,6,6,6.0,6.0,3.0
39,14th century,African slave trade,3,5,9,7.333333333333333,8.0,3.0
40,14th century,Elizabeth I of England,5,4,16,7.2,6.0,2.0
41,14th century,Fire,1,4,4,4.0,4.0,3.0
42,14th century,Greece,1,4,4,4.0,4.0,2.0
43,14th century,Henry David Thoreau,1,27,27,27.0,27.0,3.0
44,14th century,John F. Kennedy,2,6,7,6.5,6.5,3.0
45,14th century,Rainbow,27,4,16,7.444444444444445,7.0,3.0
46,14th century,Sodium,2,6,6,6.0,6.0,3.0
47,15th Marine Expeditionary Unit,Cheetah,1,4,4,4.0,4.0,3.0
48,15th Marine Expeditionary Unit,Ireland,1,3,3,3.0,3.0,2.0
49,15th Marine Expeditionary Unit,Multiple sequence alignment,1,7,7,7.0,7.0,4.0
50,15th Marine Expeditionary Unit,Planet,1,6,6,6.0,6.0,3.0
51,15th Marine Expeditionary Unit,Republic of Ireland,1,3,3,3.0,3.0,2.0
52,15th century,Anglican Church of Australia,1,6,6,6.0,6.0,3.0
53,15th century,Arithmetic,2,6,6,6.0,6.0,3.0
54,15th century,Falcon,1,7,7,7.0,7.0,3.0
55,15th century,Hurricane Floyd,1,9,9,9.0,9.0,3.0
56,15th century,Sulfuric acid,6,6,23,11.0,9.5,3.0
57,15th century,The Last Supper (Leonardo),1,3,3,3.0,3.0,2.0
58,15th century,Windows Vista,16,5,17,7.625,6.0,3.0
59,16 Cygni,HIV,3,9,13,10.666666666666666,10.0,3.0
60,16 Cygni,Hurricane Andrew,1,6,6,6.0,6.0,4.0
61,16 Cygni,Saudi Arabia,2,5,8,6.5,6.5,3.0
62,16 Cygni,TeX,1,8,8,8.0,8.0,5.0
63,16 Cygni Bb,16 Cygni,1,2,2,2.0,2.0,1.0
64,16 Cygni Bb,Ammonite,2,10,18,14.0,14.0,3.0
65,16 Cygni Bb,Astrology,1,4,4,4.0,4.0,2.0
66,16 Cygni Bb,Attention-deficit hyperactivity disorder,3,6,17,10.0,7.0,3.0
67,16 Cygni Bb,Corinthian War,1,7,7,7.0,7.0,3.0
68,16 Cygni Bb,Hippocrates,2,7,11,9.0,9.0,3.0
69,16 Cygni Bb,Jew,2,6,8,7.0,7.0,3.0
70,16 Cygni Bb,Mexico,1,4,4,4.0,4.0,2.0
71,16 Cygni Bb,Persian Gulf,1,7,7,7.0,7.0,3.0
72,16 Cygni Bb,United States Constitution,1,4,4,4.0,4.0,3.0
73,16 Cygni Bb,Utilitarianism,1,6,6,6.0,6.0,3.0
74,16th century,1st century,1,2,2,2.0,2.0,1.0
75,16th century,Able Archer 83,1,5,5,5.0,5.0,3.0
76,16th century,Adolf Hitler,1,5,5,5.0,5.0,2.0
77,16th century,Clock,1,3,3,3.0,3.0,2.0
78,16th century,Domesday Book,1,6,6,6.0,6.0,2.0
79,16th century,Football,2,4,5,4.5,4.5,2.0
80,16th century,"Houston, Texas",1,6,6,6.0,6.0,2.0
81,16th century,Ike Altgens,1,6,6,6.0,6.0,4.0
82,16th century,Political integration of India,1,5,5,5.0,5.0,4.0
83,16th century,South Ossetia,1,5,5,5.0,5.0,3.0
84,16th century,Trinity,3,3,6,4.333333333333333,4.0,2.0
85,16th century,Victoria of the United Kingdom,1,7,7,7.0,7.0,2.0
86,1755 Lisbon earthquake,8th century,1,8,8,8.0,8.0,3.0
87,1755 Lisbon earthquake,Basketball,1,5,5,5.0,5.0,2.0
88,1755 Lisbon earthquake,Quantum mechanics,3,4,9,6.0,5.0,2.0
89,1755 Lisbon earthquake,Whale shark,1,17,17,17.0,17.0,3.0
90,17th century,Attack on Pearl Harbor,1,4,4,4.0,4.0,2.0
91,17th century,Edward VI of England,1,3,3,3.0,3.0,2.0
92,17th century,Jackie Robinson,2,9,9,9.0,9.0,3.0
93,17th century,Lhasa,1,4,4,4.0,4.0,3.0
94,17th century,Monarchy,1,3,3,3.0,3.0,2.0
95,17th century,Saturn,3,4,6,5.0,5.0,3.0
96,1896 Summer Olympics,Cairo,1,5,5,5.0,5.0,2.0
97,1896 Summer Olympics,Leonardo da Vinci,1,5,5,5.0,5.0,2.0
98,1896 Summer Olympics,Niger River,1,6,6,6.0,6.0,3.0
99,1896 Summer Olympics,Planet,3,4,12,7.333333333333333,6.0,3.0
100,18th century,Capitalism,1,3,3,3.0,3.0,2.0
101,18th century,Fencing,1,8,8,8.0,8.0,3.0
102,18th century,Language,1,4,4,4.0,4.0,2.0
103,18th century,Malcolm X,2,6,12,9.0,9.0,3.0
104,18th century,Minnesota,2,4,5,4.5,4.5,2.0
105,18th century,"Perth, Western Australia",1,5,5,5.0,5.0,2.0
106,18th century,Sumer,1,4,4,4.0,4.0,2.0
107,1928 Okeechobee Hurricane,Adolf Hitler,1,4,4,4.0,4.0,2.0
108,1928 Okeechobee Hurricane,Colombia,1,3,3,3.0,3.0,2.0
109,1928 Okeechobee Hurricane,Costa Rica,1,7,7,7.0,7.0,2.0
110,1928 Okeechobee Hurricane,Force,1,4,4,4.0,4.0,3.0
111,1928 Okeechobee Hurricane,Invasive species,2,4,10,7.0,7.0,3.0
112,1928 Okeechobee Hurricane,Irish Sea,1,3,3,3.0,3.0,2.0
113,1928 Okeechobee Hurricane,Nuclear weapon,1,3,3,3.0,3.0,2.0
114,1928 Okeechobee Hurricane,Pyramid,1,6,6,6.0,6.0,3.0
115,1973 oil crisis,Benito Mussolini,1,3,3,3.0,3.0,2.0
116,1973 oil crisis,Berkelium,2,4,6,5.0,5.0,3.0
117,1973 oil crisis,Bohemian Rhapsody,2,7,7,7.0,7.0,3.0
118,1973 oil crisis,Ivory-billed Woodpecker,1,6,6,6.0,6.0,4.0
119,1973 oil crisis,Sassanid Empire,1,5,5,5.0,5.0,2.0
120,1973 oil crisis,Tower of London,1,9,9,9.0,9.0,3.0
121,1980 eruption of Mount St. Helens,Adolf Hitler,1,4,4,4.0,4.0,3.0
122,1980 eruption of Mount St. Helens,Bamako,1,6,6,6.0,6.0,3.0
123,1980 eruption of Mount St. Helens,Buddha,1,6,6,6.0,6.0,3.0
124,1980 eruption of Mount St. Helens,Dubai,2,7,8,7.5,7.5,2.0
125,1980 eruption of Mount St. Helens,Eurasian Collared Dove,1,7,7,7.0,7.0,3.0
126,1980 eruption of Mount St. Helens,Glass,1,6,6,6.0,6.0,2.0
127,19th century,Antarctic krill,1,4,4,4.0,4.0,3.0
128,19th century,Battle of the Eastern Solomons,1,7,7,7.0,7.0,4.0
129,19th century,Bear,1,7,7,7.0,7.0,3.0
130,19th century,Claudius,1,8,8,8.0,8.0,2.0
131,19th century,Code of Hammurabi,1,7,7,7.0,7.0,2.0
132,19th century,Convention on the Rights of the Child,1,6,6,6.0,6.0,3.0
133,19th century,Lead,1,5,5,5.0,5.0,2.0
134,19th century,Lord Voldemort,2,6,13,9.5,9.5,3.0
135,19th century,Mikhail Gorbachev,1,4,4,4.0,4.0,2.0
136,19th century,Paul McCartney,1,8,8,8.0,8.0,3.0
137,19th century,Religion,1,2,2,2.0,2.0,1.0
138,19th century,Sgt. Pepper's Lonely Hearts Club Band,1,6,6,6.0,6.0,3.0
139,19th century,Terrorism,1,3,3,3.0,3.0,2.0
140,19th century,Volcano,4,3,8,5.0,4.5,2.0
141,1st century,Alphabet,1,8,8,8.0,8.0,3.0
142,1st century,East Africa,1,6,6,6.0,6.0,3.0
143,1st century,Flag of Belarus,1,8,8,8.0,8.0,3.0
144,1st century,Pac-Man,6,5,15,8.166666666666666,6.5,3.0
145,1st century,Phosphorus,2,5,10,7.5,7.5,3.0
146,1st century,Steam engine,3,3,7,5.0,5.0,2.0
147,1st century,Superconductivity,1,13,13,13.0,13.0,3.0
148,1st century BC,Buddha,3,5,10,7.333333333333333,7.0,2.0
149,1st century BC,Hydrogen,1,6,6,6.0,6.0,3.0
150,1st century BC,Ocean,1,5,5,5.0,5.0,3.0
151,1st century BC,Religious Society of Friends,1,11,11,11.0,11.0,3.0
152,1st century BC,Roentgenium,2,9,9,9.0,9.0,4.0
153,1st century BC,Spider,1,8,8,8.0,8.0,3.0
154,2-6-0,Canberra,2,9,10,9.5,9.5,3.0
155,2-6-0,Marshall Plan,1,6,6,6.0,6.0,3.0
156,2-8-0,James K. Polk,1,4,4,4.0,4.0,3.0
157,2-8-0,John F. Kennedy,1,4,4,4.0,4.0,2.0
158,2-8-0,List of Prime Ministers of the United Kingdom,1,6,6,6.0,6.0,3.0
159,2-8-0,Michael Jordan,1,4,4,4.0,4.0,3.0
160,2-8-0,Muhammad Ali,1,15,15,15.0,15.0,3.0
161,2003 Atlantic hurricane season,Cambodia,1,4,4,4.0,4.0,3.0
162,2003 Atlantic hurricane season,Gull,1,8,8,8.0,8.0,3.0
163,2003 Atlantic hurricane season,Thunderstorm,2,3,3,3.0,3.0,2.0
164,2003 Atlantic hurricane season,Vatican City,5,4,8,5.6,5.0,3.0
165,2004 Atlantic hurricane season,8th century,1,4,4,4.0,4.0,2.0
