node,in_degree,out_degree,pagerank,betweenness_centrality,closeness_centrality
14th century,34,30,0.0004877020749605039,0.000928399620831656,0.39024845880814496
15th century,57,58,0.000775785762534635,0.0014692609014383571,0.4007673860911271
16th century,69,80,0.0008767300135811224,0.002213323085576768,0.3874976813207197
Pacific Ocean,149,91,0.001772088304855614,0.005895791817786177,0.4489576617236192
Atlantic Ocean,190,111,0.0024260590982951064,0.010273064002449867,0.46211702245326847
Accra,3,6,9.081595882165093e-05,4.51410263845137e-06,0.338491452645224
Africa,374,219,0.004501306223271406,0.03180572277521544,0.47580002277644917
Atlantic slave trade,17,33,0.00023248529985642335,0.000288661976674757,0.34944797591167615
African slave trade,4,11,5.491523496490829e-05,7.6121542496831415e-06,0.2823736144904028
Europe,745,255,0.008453468657215885,0.05583479082344617,0.5335887611749681
Niger,13,19,0.00020348886588168668,0.00010188761747413715,0.3438400131676405
Nigeria,35,32,0.0004583341144705931,0.0006123606393534326,0.38955710955710954
British Empire,117,114,0.0015601546114450365,0.005553717170819137,0.4532436537209807
Slavery,77,74,0.0009454360389048819,0.0028537710152267675,0.4050412021328163
Renaissance,100,65,0.0012880355555016977,0.0024004912342575594,0.41444301160599145
Ancient Greece,135,83,0.0017019989618996135,0.005384836040730096,0.42746060978105177
Greece,136,87,0.0017395383856438275,0.005156432898793617,0.4497793088599419
Italy,276,109,0.0032644372266298818,0.009867607044535444,0.4812809584149292
Roman Catholic Church,138,81,0.001672236326233256,0.004358579702375816,0.41170674024438314
HIV,28,15,0.0003819235380784082,0.00024218975018622956,0.3677169512409787
Ronald Reagan,38,52,0.0004717975707497937,0.0014023591383279484,0.3677493178417393
President of the United States,94,64,0.0009610483009284017,0.004617411357063724,0.3941509433962264
John F. Kennedy,38,41,0.00042359152464966493,0.0008664625090957637,0.38992067195520297
North America,324,135,0.0036854653306725473,0.017373447453665147,0.4757458437713505
United States,1319,469,0.014488058751434323,0.15854154609478663,0.5816511207016567
China,314,125,0.003801260786075905,0.014324680558451788,0.4830057803468208
Gunpowder,16,12,0.00023140864260756731,8.074003407384401e-05,0.35144683714670255
Fire,20,27,0.00030231273063644235,0.0002753449946839109,0.3495064413585411
Time,43,50,0.000614674268994775,0.0006633555901398168,0.3661379370782578
Isaac Newton,68,56,0.0008174306643697639,0.0014753406439583054,0.36403241265138975
